stop_id, stop_code, stop_name, stop_desc, stop_lat, stop_lon, zone_id, stop_url, location_type, parent_station, stop_timezone, wheelchair_boarding
8805, 4616, "Dzerkaļi", , 56.1296496, 27.0561695, 8805, , , , , 
8806, 4617, "Bēšoni", , 56.0989698, 27.0740108, 8806, , , , , 
8807, 4617, "Bēšoni", , 56.0991399, 27.0736181, 8807, , , , , 
8808, 4618, "Sekļi", , 56.1028526, 27.0576861, 8808, , , , , 
8809, 4618, "Sekļi", , 56.1027568, 27.0576320, 8809, , , , , 
8813, 4621, "Aglona", , 56.1303747, 27.0081175, 8813, , , , , 
8818, 4625, "Voguļi", , 56.1530860, 26.9754837, 8818, , , , , 
8819, 4625, "Voguļi", , 56.1531873, 26.9750661, 8819, , , , , 
8820, 4627, "Kastīre", , 56.2115410, 26.8665550, 8820, , , , , 
8821, 4627, "Kastīre", , 56.2127240, 26.8658030, 8821, , , , , 
8822, 4628, "Šnepsti", , 56.2326120, 26.8519180, 8822, , , , , 
8823, 4628, "Šnepsti", , 56.2334250, 26.8503430, 8823, , , , , 
8826, 4630, "Korsikova", , 56.2521070, 26.8073710, 8826, , , , , 
8827, 4630, "Korsikova", , 56.2535100, 26.8030480, 8827, , , , , 
8828, 4632, "Anspoki", , 56.2654310, 26.7632820, 8828, , , , , 
8829, 4632, "Anspoki", , 56.2661590, 26.7614490, 8829, , , , , 
8832, 4634, "Līči", , 56.3054531, 26.6963153, 8832, , , , , 
8833, 4634, "Līči", , 56.3055308, 26.6965822, 8833, , , , , 
8834, 4635, "Tilts", , 56.3084241, 26.6809073, 8834, , , , , 
8835, 4635, "Tilts", , 56.3089763, 26.6794489, 8835, , , , , 
8838, 4637, "Pupāji", , 56.3218834, 26.6332344, 8838, , , , , 
8839, 4637, "Pupāji", , 56.3224870, 26.6319548, 8839, , , , , 
8842, 4639, "Prīkuļi", , 56.3578470, 26.5933370, 8842, , , , , 
8843, 4639, "Prīkuļi", , 56.3590210, 26.5923180, 8843, , , , , 
8844, 4640, "Razrivka", , 56.3683640, 26.5781410, 8844, , , , , 
8845, 4640, "Razrivka", , 56.3696100, 26.5746050, 8845, , , , , 
8848, 4642, "Brūveri", , 56.3832999, 26.5331033, 8848, , , , , 
8849, 4642, "Brūveri", , 56.3840863, 26.5324083, 8849, , , , , 
8852, 4644, "Vilkmugure", , 56.4131130, 26.4773270, 8852, , , , , 
8853, 4644, "Vilkmugure", , 56.4130900, 26.4774670, 8853, , , , , 
8854, 4645, "Rudzāti", , 56.4168179, 26.4539934, 8854, , , , , 
8855, 4645, "Rudzāti", , 56.4170561, 26.4536667, 8855, , , , , 
8856, 4646, "Mālkalns", , 56.4385140, 26.4074600, 8856, , , , , 
8858, 4649, "Elektra", , 56.3631216, 26.2179253, 8858, , , , , 
8859, 4649, "Elektra", , 56.3628644, 26.2183150, 8859, , , , , 
8862, 4651, "Pēternieki", , 56.3469839, 26.2866049, 8862, , , , , 
8863, 4651, "Pēternieki", , 56.3468813, 26.2873992, 8863, , , , , 
8867, 4653, "Rožupe", , 56.3417236, 26.3535773, 8867, , , , , 
8869, 4653, "Rožupe", , 56.3415907, 26.3538270, 8869, , , , , 
8872, 4655, "Kazuļi", , 56.3274382, 26.3908579, 8872, , , , , 
8873, 4655, "Kazuļi", , 56.3274041, 26.3910361, 8873, , , , , 
8876, 4657, "Apšenieki", , 56.3184458, 26.4592067, 8876, , , , , 
8877, 4657, "Apšenieki", , 56.3182546, 26.4597507, 8877, , , , , 
