service_id, monday, tuesday, wednesday, thursday, friday, saturday, sunday, start_date, end_date
81172, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
81177, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210630
81178, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210630
81179, 1, 1, 1, 1, 1, 1, 0, 20210319, 20210630
81180, 0, 0, 0, 0, 0, 1, 0, 20210319, 20210630
81185, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
81187, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210630
81188, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210630
81194, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210630
81196, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210630
81197, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210630
81202, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210630
81203, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210630
81204, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210630
81205, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210630
81211, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210630
81213, 0, 1, 0, 0, 1, 0, 1, 20210319, 20210630
81214, 0, 1, 0, 0, 1, 0, 1, 20210319, 20210630
81219, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210630
81220, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210630
81229, 0, 0, 0, 0, 0, 1, 1, 20210319, 20210630
81236, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210630
81238, 1, 1, 1, 1, 1, 0, 0, 20210601, 20210630
81239, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210531
81244, 1, 1, 1, 1, 1, 0, 1, 20210319, 20210630
81245, 1, 1, 1, 1, 1, 0, 1, 20210319, 20210630
81246, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210630
81247, 1, 1, 1, 1, 1, 0, 0, 20210601, 20210630
81252, 0, 0, 0, 0, 0, 1, 0, 20210319, 20210630
81253, 0, 0, 1, 0, 0, 0, 0, 20210319, 20210630
81254, 0, 0, 1, 0, 0, 0, 0, 20210319, 20210630
81255, 0, 0, 1, 0, 0, 0, 0, 20210319, 20210630
81256, 0, 0, 1, 0, 0, 0, 0, 20210319, 20210630
81261, 0, 0, 0, 0, 1, 0, 0, 20210319, 20210630
81262, 0, 0, 0, 0, 1, 0, 0, 20210319, 20210630
81263, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210630
81264, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210630
81269, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210630
81270, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210630
81271, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210630
81272, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210630
81277, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210327
81278, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210630
81280, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210630
81281, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210630
81286, 0, 0, 0, 0, 1, 1, 1, 20210319, 20210630
81288, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210630
81294, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210630
81295, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210327
81296, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210630
81297, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210630
81306, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210630
81311, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210630
81313, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
81314, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
82158, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210331
82175, 1, 0, 1, 0, 1, 0, 0, 20210320, 20210331
82180, 0, 0, 0, 0, 0, 1, 0, 20210319, 20210331
82188, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210331
82189, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210331
82190, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210331
82191, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210331
82197, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210331
82198, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210331
82199, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210331
82205, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210331
82206, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210331
82207, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210331
82208, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210331
82213, 0, 0, 0, 0, 0, 1, 0, 20210319, 20210331
