route_id, service_id, trip_id, trip_headsign, trip_short_name, direction_id, block_id, shape_id, wheelchair_accessible, bikes_allowed
6201531, 146675, 146675, , , , , 85328, , 
6201210, 146698, 146698, , , , , 86928, , 
6201454, 146718, 146718, , , , , 86814, , 
6201454, 146721, 146721, , , , , 86931, , 
6201490, 146924, 146924, , , , , 84234, , 
2201576, 146944, 146944, , , , , 84746, , 
2200615, 146947, 146947, , , , , 84759, , 
2200221, 146967, 146967, , , , , 84923, , 
2200710, 146990, 146990, , , , , 84847, , 
2200796, 147013, 147013, , , , , 86357, , 
2201032, 147090, 147090, , , , , 86919, , 
2201448, 147116, 147116, , , , , 86939, , 
2200434, 147136, 147136, , , , , 87503, , 
2200444, 147159, 147159, , , , , 86446, , 
2200638, 147216, 147216, , , , , 87949, , 
2200521, 147239, 147239, , , , , 86863, , 
1601144, 147823, 147823, , , , , 84592, , 
5501435, 147923, 147923, , , , , 87225, , 
5501435, 147949, 147949, , , , , 88134, , 
6201460, 148172, 148172, , , , , 89397, , 
6201460, 148195, 148195, , , , , 89243, , 
2101564, 148298, 148298, , , , , , , 
2101245, 148318, 148318, , , , , 89101, , 
2101245, 148321, 148321, , , , , 89102, , 
2101245, 148341, 148341, , , , , 89030, , 
2101247, 148364, 148364, , , , , 88964, , 
2101247, 148387, 148387, , , , , 89383, , 
6201202, 148510, 148510, , , , , 89718, , 
6201205, 148533, 148533, , , , , 90496, , 
5500468, 148590, 148590, , , , , , , 
5500468, 148613, 148613, , , , , , , 
2100501, 148882, 148882, , , , , , , 
2100501, 148905, 148905, , , , , , , 
2100501, 148925, 148925, , , , , , , 
6200432, 149005, 149005, , , , , 90349, , 
1041215, 149028, 149028, , , , , , , 
1041215, 149031, 149031, , , , , , , 
1041215, 149051, 149051, , , , , , , 
1040001, 149074, 149074, , , , , , , 
5800350, 149546, 149546, , , , , 90464, , 
6801151, 149566, 149566, , , , , 89462, , 
6801151, 149569, 149569, , , , , 89520, , 
6801151, 149592, 149592, , , , , 89527, , 
6801324, 149672, 149672, , , , , 89561, , 
6801121, 149692, 149692, , , , , 89692, , 
6800197, 149715, 149715, , , , , , , 
6800197, 149738, 149738, , , , , 89708, , 
6800103, 149795, 149795, , , , , 89912, , 
6800207, 149838, 149838, , , , , 89768, , 
6800214, 149884, 149884, , , , , 90073, , 
1040503, 150030, 150030, , , , , 90457, , 
2101164, 150233, 150233, , , , , 90014, , 
6400014, 150379, 150379, , , , , 89732, , 
6400020, 150402, 150402, , , , , 89946, , 
6400021, 150425, 150425, , , , , 89742, , 
2101245, 150820, 150820, , , , , , , 
2101245, 150840, 150840, , , , , , , 
2101302, 150920, 150920, , , , , 89931, , 
2100930, 150966, 150966, , , , , 90121, , 
2100380, 151046, 151046, , , , , 90211, , 
2100380, 151066, 151066, , , , , 90302, , 
2100472, 151089, 151089, , , , , 90418, , 
5500338, 126718, 126718, , , , , 81516, , 
5500338, 126721, 126721, , , , , 82317, , 
5500612, 126744, 126744, , , , , 79969, , 
5500868, 126764, 126764, , , , , 79733, , 
